# prefix,iso_country_code,iso_region_code,city_name,postal_code
89.47.37.0/24,US,US-VA,Ashburn,
185.36.127.0/24,US,US-VA,Ashburn,
109.203.165.0/24,HK,,Hong Kong,
109.203.162.0/24,GB,GB-ENG,London,
109.203.160.0/24,US,US-VA,Ashburn,
109.203.167.0/24,AT,AT-9,Vienna,
92.61.104.0/24,IT,IT-25,Milan,
176.46.128.0/24,SG,SG-05,Singapore,
176.46.131.0/24,HU,HU-BU,Budapest,
89.38.41.0/24,DE,DE-HE,Frankfurt am Main,
89.38.47.0/24,ES,ES-MD,Madrid,
89.38.43.0/24,AU,AU-NSW,Sydney,
89.38.44.0/24,FR,FR-IDF,Paris,
89.38.46.0/24,DK,DK-84,Copenhagen,
103.230.9.0/24,JP,JP-13,Tokyo,
45.150.16.0/22,US,US-VA,Ashburn,
91.190.187.0/24,US,US-VA,Ashburn,
195.222.124.0/24,CA,CA-QC,Montreal,
195.222.125.0/24,CH,CH-ZH,Zurich,
68.170.3.0/24,US,US-VA,Ashburn,
195.222.127.0/24,US,US-VA,Ashburn,
163.5.74.0/24,JP,JP-13,Tokyo,
212.192.254.0/24,GB,GB-ENG,London,
93.114.244.0/24,ES,ES-MD,Madrid,
